Feature,Feature Value,SHAP Value
C,0.36,2.6738012607894137
Si,0.6,-0.2580746154456045
Mn,0.8,-0.4021508413486456
P,1.04,-0.3869716480541691
Cr,13.0,5.065548199236279
Fe,84.11,2.1830314322878897
Perimeter,15548.1213763222,-0.6464488911758602
S3,1.0903699736496606,-0.08577899908044992
Circularity,0.0126004752130491,-0.005187754453726268
Compactness,441.0021176624877,-0.08516376444640089
Density,0.7013698032924107,-0.4402464640951882
S7,138.4243208372348,-0.03643859794935028
Uniformity,0.4857981856705522,-0.399173891530848
P1,980.0,-1.9894900008284344
P2,1040.0,-0.9667955175959446
P3,200.0,20.860596699130795
M1,7.66,1.2934929917172933
M3,169.5,1.3665762200876692
M5,0.46,0.048518202822634915
P4,-60.0,-4.329434646889649
