,C,Si,Mn,P,Cr,Fe,Density_phy,ThermalConductivity,BulkModulus,YoungsModulus,SpecificHeatCapacity,HV Mean
C,1.000,-0.770,-0.770,0.770,0.536,-0.732,-1.000,1.000,-1.000,1.000,0.894,0.498
Si,-0.770,1.000,1.000,-1.000,-0.529,0.770,0.770,-0.770,0.770,-0.770,-0.536,-0.300
Mn,-0.770,1.000,1.000,-1.000,-0.529,0.770,0.770,-0.770,0.770,-0.770,-0.536,-0.300
P,0.770,-1.000,-1.000,1.000,0.529,-0.770,-0.770,0.770,-0.770,0.770,0.536,0.300
Cr,0.536,-0.529,-0.529,0.529,1.000,-0.945,-0.536,0.536,-0.536,0.536,0.123,0.491
Fe,-0.732,0.770,0.770,-0.770,-0.945,1.000,0.732,-0.732,0.732,-0.732,-0.350,-0.502
Density_phy,-1.000,0.770,0.770,-0.770,-0.536,0.732,1.000,-1.000,1.000,-1.000,-0.894,-0.498
ThermalConductivity,1.000,-0.770,-0.770,0.770,0.536,-0.732,-1.000,1.000,-1.000,1.000,0.894,0.498
BulkModulus,-1.000,0.770,0.770,-0.770,-0.536,0.732,1.000,-1.000,1.000,-1.000,-0.894,-0.498
YoungsModulus,1.000,-0.770,-0.770,0.770,0.536,-0.732,-1.000,1.000,-1.000,1.000,0.894,0.498
SpecificHeatCapacity,0.894,-0.536,-0.536,0.536,0.123,-0.350,-0.894,0.894,-0.894,0.894,1.000,0.363
HV Mean,0.498,-0.300,-0.300,0.300,0.491,-0.502,-0.498,0.498,-0.498,0.498,0.363,1.000
